"Title","Image","Sunlight","Water","Pet-Safe","Text Tags","Tags","Plants (Item)","Plants","ID","Created Date","Updated Date","Owner"
"Alocasia","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_alocasia-polly_detail_600x600.jpg?ver=282336","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Alocasia will thrive in a spot with medium to bright &nbsp;indirect light. Avoid direct sunlight, which can cause leaf scorch. It &nbsp;is not tolerant of low-light situations. If you don’t have a location &nbsp;with ideal lighting for your Alocasia Azlanii, use a <a href=""https://bloomscape.com/product/large-grow-light/"">Grow Light</a>!</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8""><a href=""https://bloomscape.com/product/watering-can/"">Water your Alocasia</a> when 25-50% of the soil volume is dry. Water until liquid flows through &nbsp;the drainage hole at the bottom of the pot and discard any water that &nbsp;has accumulated in the saucer. Alocasia is susceptible to root rot, so &nbsp;avoid overwatering.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Alocasias are mildly toxic to pets and humans. Typically, ingestion will &nbsp;cause mouth and stomach irritation and possible vomiting.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★★★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★★★"",""✘""]","/plants/alocasia","/plants/","0528668e-dd37-4beb-9955-c8a054227f5f",2024-12-01T00:36:35Z,2024-12-01T21:39:13Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Arrowhead Plant","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_arrowhead-plant_detail_600x600.jpg?ver=282337","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Arrowhead Plant prefers bright indirect light but can adapt to low light. Direct sun may burn the leaves.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 50%-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your Arrowhead Plant is considered toxic to humans and pets if ingested.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/arrowhead-plant","/plants/","10271666-5e6b-4d0a-b804-bd6814e2b32a",2024-12-01T21:13:35Z,2024-12-01T21:27:09Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Monstera","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_monstera_detail_600x600.jpg?ver=282363","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Monstera can grow just about anywhere in your home! It tolerates low light, but grows faster and becomes more dramatic in a spot with indirect bright light. That said, avoid strong, direct sunlight because it may burn the leaves. If you don’t have a location with ideal lighting for your Monstera, use a Grow Light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Monstera when the top 50–75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Monstera leaves are mildly toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting.</p>","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎"",""🌢🌢"",""★"",""✘""]","/plants/monstera","/plants/","12d15159-b081-4cb0-b2b0-154cc7b1b5b4",2024-12-01T21:13:35Z,2024-12-01T21:35:13Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Zebra Plant","https://bloomscape.com/wp-content/uploads/2021/08/b37591da8a0df576fbd34882b1f21550ef329898-4335x5204-1.jpg?ver=563029","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your zebra plant thrives in bright, indirect light. It can tolerate a couple of hours of direct morning sunlight, but avoid long periods of direct sun and especially direct afternoon sun, which can cause the leaves to scorch. Zebra plants are not adaptable to low light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your zebra plant when the top 25% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot. Avoid watering directly on the leaves, as water can funnel down the stems and cause crown rot.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your zebra plant is considered to be non-toxic to pets and humans.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★★"",""✔""]","/plants/zebra-plant","/plants/","176b670d-a5b8-410f-bbe2-88e865022b29",2024-12-01T21:13:35Z,2024-12-01T21:38:28Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Geo Plant","https://bloomscape.com/wp-content/uploads/2022/09/bloomscape_geo-plant_md_plant-stool.jpg?ver=939563","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Geo Plant prefers bright indirect light. Avoid extended exposure to direct sunlight which may cause its leaves to scorch.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when 25-50% of the soil volume is dry. Water slowly, allowing it to soak into the soil until it drips out of the drainage hole. Discard any excess water that accumulates in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered non-toxic and pet-friendly.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★"",""✔""]","/plants/geo-plant","/plants/","1d2cab0d-a941-4f09-ae15-351b10df4500",2024-12-01T21:13:35Z,2024-12-01T21:33:43Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Lithops","https://bloomscape.com/wp-content/uploads/2022/02/bloomscape_lithop_detail.jpg?ver=671496","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Lithops need a lot of sunlight to thrive. They need 6 hours or more of direct sunlight every day. Place the living stones in a south-facing window and they will be happy.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Let 100% of the soil volume dry before watering during the spring and summer. These plants thrive in a dry environment. In the fall and winter, these plants typically go dormant and need little to no water. Water only if the lithops have begun to shrivel up.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Living stones are non-toxic and safe to have around children and pets.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢"",""★"",""✔""]","/plants/lithops","/plants/","1d9c55a0-1565-4622-8455-0fd2f51c99be",2024-12-01T21:13:35Z,2024-12-01T21:34:42Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Caladium","https://bloomscape.com/wp-content/uploads/2021/08/caladium_detail_600x600.jpg?ver=591274","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your caladium will thrive best in bright to medium-bright indirect light. It can tolerate direct morning sun like in an eastern or northern window. Avoid areas in which it will be exposed to harsh afternoon sun.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your caladium when the top 25% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot. When the plant goes dormant in the winter, water very sparingly to allow the plant to rest. Begin watering again in the spring to “wake” the plant out of dormancy.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Your caladium is considered to be toxic to pets and humans if ingested. Can cause mouth and stomach irritation.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★★★"",""✘""]","/plants/caladium","/plants/","23b6c79f-20b2-4e9b-99e4-7e2b4284a47f",2024-12-01T21:13:35Z,2024-12-01T21:41:13Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Yucca Cane","https://bloomscape.com/wp-content/uploads/2021/03/bloomscape_yucca-cane_xl_detail.jpg?ver=437483","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Yucca prefers bright indirect light indirect to bright light. Too little light will cause growth to slow.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Yucca when 75-100% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Yucca Plants are mildly toxic to pets and humans if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢"",""★"",""✘""]","/plants/yucca-cane","/plants/","290d8f40-77d0-47c3-8cc8-0cfa684aebb0",2024-12-01T21:13:35Z,2024-12-01T21:38:18Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Bird of Paradise","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_bird-of-paradise_detail_600x600.jpg?ver=282338","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">The Bird of Paradise can handle direct and bright indirect light. However, it will flourish most in a sunny spot in direct sun. If you don’t think you have a spot with enough light, try using a grow light.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water your Bird of Paradise when the soil volume is 50% dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">Bird of Paradise is considered toxic to humans and pets if ingested.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘","[""☀︎☀︎☀︎"",""🌢🌢"",""★★"",""✘""]","/plants/bird-of-paradise","/plants/","3325c477-fd73-4710-a757-d663e194818f",2024-12-01T21:13:35Z,2024-12-01T21:40:25Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
"Prayer Plant","https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_red-prayer-plant_alt_detail_600x600.jpg?ver=282387","<p class=""font_8""><strong>Light:</strong></p>
<p class=""font_8"">Your Prayer Plant prefers bright, indirect light. Direct sun can cause the leaves to fade and scorch.</p>","<p class=""font_8""><strong>Water:</strong></p>
<p class=""font_8"">Water when the soil volume is 25% dry. Water until liquid flows through the drainage hole and discard any that accumulates in the saucer.</p>","<p class=""font_8""><strong>Pet-Safe:</strong></p>
<p class=""font_8"">This plant is considered non-toxic and pet-friendly.</p>","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔","[""☀︎☀︎☀︎"",""🌢🌢🌢"",""★"",""✔""]","/plants/prayer-plant","/plants/","33cb054c-9ee2-43a4-a51a-0e5cd096f2ce",2024-12-01T21:13:35Z,2024-12-01T21:37:22Z,"113ad9d1-680a-41fa-a500-534b56b4c9a9"
