Name,Image,Light,Water,Pet-Safe,Tag Text,Tags
Anthurium,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_detail-red-anthurium_600x600.jpg?ver=282351,"Light:
Your Anthurium prefers bright indirect light. Direct sun may burn the leaves. The more light the plant receives, the more blooms your plant will produce. ","Water:
Water your Anthurium when 50-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer. Overwatering causes yellow leaf tips and underwatering causes brown leaf tips.","Pet-Safe:
This plant is considered toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Arrowhead Plant,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_arrowhead-plant_detail_600x600.jpg?ver=282337,"Light:
Your Arrowhead Plant prefers bright indirect light but can adapt to low light. Direct sun may burn the leaves.","Water:
Water when 50%-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Your Arrowhead Plant is considered toxic to humans and pets if ingested.","Sunlight: ☀︎☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Asparagus Fern,https://bloomscape.com/wp-content/uploads/2021/11/asparagus-fern_detail_600x600.jpg?ver=617617,"Light:
This plant grows best in bright indirect light and dappled shade, so be sure to keep it out of direct sunlight.","Water:
Water when 25% of the soil volume is dry, allowing the water to run out of the drainage hole fully to avoid root rot. If the plant is turning brown or drooping, this is a sign it is not getting enough water.","Pet-Safe:
This plant and its berries are toxic to both humans and pets.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✘",
Bird of Paradise,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_bird-of-paradise_detail_600x600.jpg?ver=282338,"Light:
The Bird of Paradise can handle direct and bright indirect light. However, it will flourish most in a sunny spot in direct sun. If you don’t think you have a spot with enough light, try using a grow light.","Water:
Water your Bird of Paradise when the soil volume is 50% dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Bird of Paradise is considered toxic to humans and pets if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Bromeliad,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_bromeliad-aechmea-pink_detail.jpg?ver=279186,"Light:
Your Bromeliad prefers indirect bright light like from a sunny eastern window. Too little light and the plant will not produce new pups and flowers, but too much light will burn the leaves.","Water:
Bromeliads are unique in that you water the center of the plant instead of the soil. Keep the center of the plant filled with water at all times – up to halfway. Every few weeks, empty any water, rinse and fill with fresh water. This helps prevent salt and mineral buildup. Only water the soil when it is 100% dry. When watering the soil, water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Your Bromeliad is non-toxic and pet friendly. The leaves can cause contact dermatitis in some individuals, so consider wearing gloves when handling the plant.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✔",
Cactus,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_prickly-pear-cactus_detail_600x600.jpg?ver=282372,"Light:
Your Cactus needs bright direct light. This means a spot that gets 6 or more hours of direct sun per day, like an unobstructed southern or western window.","Water:
Water your cactus when the soil volume is 100% dry. Water thoroughly until it flows out of the drainage hole. Discard excess water to discourage root rot.","Pet-Safe:
This is considered pet friendly, but watch out for spikes!","Sunlight: ☀︎☀︎☀︎
Water: 🌢
Difficulty: ★
Pet-Safe: ✔",
Caladium,https://bloomscape.com/wp-content/uploads/2021/08/caladium_detail_600x600.jpg?ver=591274,"Light:
Your caladium will thrive best in bright to medium-bright indirect light. It can tolerate direct morning sun like in an eastern or northern window. Avoid areas in which it will be exposed to harsh afternoon sun.","Water:
Water your caladium when the top 25% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot. When the plant goes dormant in the winter, water very sparingly to allow the plant to rest. Begin watering again in the spring to “wake” the plant out of dormancy.","Pet-Safe:
Your caladium is considered to be toxic to pets and humans if ingested. Can cause mouth and stomach irritation.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✘",
Calathea,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_calathea-medallion_detail_600x600.jpg?ver=282340,"Light:
Your Calathea prefers medium to bright indirect light—so placing it in front of an east, west, or north window is ideal. Direct sun burns the leaves and causes the beautiful leaf colors to fade.","Water:
Water your Calathea when the top 25% of soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Your Calathea is non-toxic to cats, dogs, and humans.","Sunlight: ☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★★
Pet-Safe: ✔",
Calla Lily,https://bloomscape.com/wp-content/uploads/2023/03/BLOOMSCAPE_MARCH_0063-scaled-e1677867960311.jpg?ver=1014083,"Light:
Your Calla Lily prefers bright indirect light. Avoid prolonged exposure to direct sunlight, which can burn the leaves. If you aren’t sure you have enough light indoors, try using a grow light.","Water:
Water when 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
This plant is considered toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Carnivorous Venus Fly Trap,https://bloomscape.com/wp-content/uploads/2020/08/bloomscape_collections_carnivorous_venus-fly-trap_detail_600x600.jpg?ver=282342,"Light:
Your Venus Fly Trap prefers direct or very bright indirect light. It will not tolerate low light.","Water:
Water when 25% of the soil volume is dry. Water slowly, allowing it to soak into the soil until it drips out of the drainage hole. Discard any excess water that accumulates in the saucer.","Pet-Safe:
This plant is considered non-toxic and pet-friendly.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Cast Iron Plant,https://bloomscape.com/wp-content/uploads/2021/09/iStock-1253049188-scaled.jpg?ver=586623,"Light:
Your cast iron plant can grow in low and artificial light, but will perform best in bright to medium-bright indirect light. It can tolerate a few hours of direct morning sun, but avoid areas in which it will be exposed to harsh afternoon sun.","Water:
Water your cast iron plant when the top 50-75% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot.","Pet-Safe:
Cast iron plants are not toxic to humans and pets.","Sunlight: ☀︎
Water: 🌢🌢
Difficulty: ★
Pet-Safe: ✔",
Coffee Plant,https://bloomscape.com/wp-content/uploads/2021/11/Plant-Care-Details-600x600-1.jpg?ver=618918,"Light:
Your Coffee Plant prefers bright indirect sunlight, having developed in the lower levels of Ethiopian forests. Too much direct sunlight can brown the leaves.","Water:
Your Coffee Plant enjoys frequent waterings. Water when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
Coffee Plant leaves are toxic to both pets and humans.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
Conifer,https://bloomscape.com/wp-content/uploads/2021/10/bloomscape_lemon-cypress_small_detail.jpg?ver=610374,"Light:
Your Conifer prefers bright indirect light to direct sunlight. It will not do well in medium or low light environments.","Water:
Water your Conifer when 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.","Pet-Safe:
This plant is considered to be toxic to pets and humans if ingested.","Sunlight: ☀︎☀︎☀︎
Water: 🌢🌢
Difficulty: ★★
Pet-Safe: ✘",
